tribunal,grau,nome_orgao,ano,mes,processo,codigo_da_ultima_classe,nome_da_ultima_classe,codigos_assuntos,data_de_referencia,formato,codigo_orgao,status,data_de_inicio,data_da_ultima_movimentacao,dias_de_antiguidade,codigo,descricao
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,5,2089233-71.2023.8.26.0000,11881,AGRAVO EM RECURSO ESPECIAL,5952.0,27/05/2024,Eletronico,12728,Baixado,06/03/2024,,,5952.0,IPTU/ Imposto Predial e Territorial Urbano
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,5,2089233-71.2023.8.26.0000,11881,AGRAVO EM RECURSO ESPECIAL,9196.0,27/05/2024,Eletronico,12728,Baixado,06/03/2024,,,9196.0,Liminar 
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,1001816-31.2019.8.26.0132,11881,AGRAVO EM RECURSO ESPECIAL,4706.0,29/08/2024,Eletronico,12728,Baixado,11/06/2024,,,4706.0,Eviccao ou Vicio Redibitorio
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,2299232-64.2023.8.26.0000,1032,RECURSO ESPECIAL,10945.0,27/08/2024,Eletronico,12728,Baixado,03/06/2024,,,10945.0,Expurgos Inflacionarios / Planos Economicos
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,0021061-86.2002.8.24.0038,11881,AGRAVO EM RECURSO ESPECIAL,5952.0,12/09/2024,Eletronico,12728,Baixado,24/04/2024,,,5952.0,IPTU/ Imposto Predial e Territorial Urbano
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,2336030-24.2023.8.26.0000,11881,AGRAVO EM RECURSO ESPECIAL,9607.0,26/08/2024,Eletronico,12728,Baixado,03/05/2024,,,9607.0,Contratos Bancarios
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,5007677-87.2019.4.04.7111,11881,AGRAVO EM RECURSO ESPECIAL,5946.0,22/08/2024,Eletronico,12728,Baixado,16/04/2024,,,5946.0,ICMS/ Imposto sobre Circulacao de Mercadorias
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,5007677-87.2019.4.04.7111,11881,AGRAVO EM RECURSO ESPECIAL,6035.0,22/08/2024,Eletronico,12728,Baixado,16/04/2024,,,6035.0,Cofins
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,5007677-87.2019.4.04.7111,11881,AGRAVO EM RECURSO ESPECIAL,6036.0,22/08/2024,Eletronico,12728,Baixado,16/04/2024,,,6036.0,Contribuicao Social sobre o Lucro Liquido
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,5007677-87.2019.4.04.7111,11881,AGRAVO EM RECURSO ESPECIAL,5933.0,22/08/2024,Eletronico,12728,Baixado,16/04/2024,,,5933.0,IRPJ/Imposto de Renda de Pessoa Juridica
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,5007677-87.2019.4.04.7111,11881,AGRAVO EM RECURSO ESPECIAL,6039.0,22/08/2024,Eletronico,12728,Baixado,16/04/2024,,,6039.0,PIS
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,2201192-47.2023.8.26.0000,11881,AGRAVO EM RECURSO ESPECIAL,9596.0,23/08/2024,Eletronico,12728,Baixado,07/05/2024,,,9596.0,Prestacao de Servicos
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,1013407-91.2023.8.26.0053,1032,RECURSO ESPECIAL,6107.0,16/08/2024,Eletronico,12728,Baixado,02/05/2024,,,6107.0,Auxilio-Acidente (Art. 86)
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,2186550-69.2023.8.26.0000,11881,AGRAVO EM RECURSO ESPECIAL,4960.0,30/08/2024,Eletronico,12728,Baixado,10/06/2024,,,4960.0,Cedula de Credito Bancario
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,0159097-35.2016.8.06.0001,11881,AGRAVO EM RECURSO ESPECIAL,7768.0,22/08/2024,Eletronico,12728,Baixado,06/06/2024,,,7768.0,Rescisao do contrato e devolucao do dinheiro
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,6,5014890-93.2021.8.24.0092,11881,AGRAVO EM RECURSO ESPECIAL,7772.0,24/06/2024,Eletronico,12728,Baixado,22/04/2024,,,7772.0,Cartao de Credito
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,6,5014890-93.2021.8.24.0092,11881,AGRAVO EM RECURSO ESPECIAL,11806.0,24/06/2024,Eletronico,12728,Baixado,22/04/2024,,,11806.0,Emprestimo consignado
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,1021073-51.2021.8.11.0015,11881,AGRAVO EM RECURSO ESPECIAL,9517.0,06/08/2024,Eletronico,12728,Baixado,24/05/2024,,,9517.0,Causas Supervenientes a Sentenca
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,1021073-51.2021.8.11.0015,11881,AGRAVO EM RECURSO ESPECIAL,10290.0,06/08/2024,Eletronico,12728,Baixado,24/05/2024,,,10290.0,Gratificacao de Incentivo
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,1004524-78.2020.8.26.0533,1032,RECURSO ESPECIAL,6107.0,12/09/2024,Eletronico,12728,Baixado,16/05/2024,,,6107.0,Auxilio-Acidente (Art. 86)
